name,comments,pr,issues,handle_issue
MD65,0,0,1,0
tuudik,0,0,1,0
tahirahmad2030,1,0,2,0
alexandreblin,0,0,1,0
krueger,1,0,3,0
Lumaraf,0,0,2,0
WUMUXIAN,0,0,1,0
davisbra,0,0,1,0
liguodongIOT,0,0,1,0
schmittberger,0,0,1,0
reyou,0,0,1,0
TalkIsCheapGiveMeMoney,0,0,1,0
upuv,0,0,2,0
doubleuhy,0,0,1,0
mzbeck,0,1,1,0
rliuedgewise,0,0,1,0
buptdashing,0,1,1,0
joakimberglund,0,0,1,0
sinylei,1,1,1,0
3lnc,1,0,1,0
johnny94,9,1,1,0
emanzaman,0,0,1,0
ymc-dabe,0,0,1,0
teshanya,0,1,1,0
srikhark,0,0,2,0
0094786,0,1,1,0
jumpingfella,0,0,1,0
hoppities,0,0,1,0
kadisyy,0,0,2,0
sanyam1212,0,0,1,0
odrotbohm,0,0,2,0
ritesh-kapoor,0,1,1,0
ybtsdst,0,0,1,0
seangarita,0,0,1,0
r32rtb,0,0,1,0
alexz00,0,0,1,0
yansal,0,0,1,0
koalalam,0,0,1,0
rafalbig,0,4,4,0
dixingxing0,0,0,2,0
rondelward,0,0,1,0
jsteggink,0,0,1,0
unquietwiki,0,0,1,0
diaojinggang,0,1,1,0
jeancornic,0,0,2,0
waming5,0,0,1,0
djkdeveloper,0,0,1,0
JoeNguyen93,0,1,1,0
vishwasPHPDots,0,0,1,0
Prabhu2430,0,0,1,0
adhulipa,2,1,1,0
AbolfazlDalily,0,0,1,0
demisx,0,1,1,0
sgelastic,0,0,1,0
bnnsoft,0,1,1,0
mveitas,1,1,4,0
smartest-water,0,1,1,0
vsop-479,0,0,1,0
lukestephenson,0,0,1,0
ptpt,0,0,1,0
dilchenko,0,1,1,0
tulumvinh,0,0,1,0
djr4488,0,0,1,0
ademariag,0,1,2,0
gvijayakumar-16,0,0,2,0
kozmaz87,0,0,1,0
mleczo,0,0,1,0
sergiomahs,0,1,1,0
StevenToth,0,0,1,0
farin99,0,0,1,0
pankajpragma,0,0,1,0
johnyannj,0,0,2,0
nicholas251291740,0,0,1,0
maximshd,0,0,1,0
ergo,0,0,1,0
fantapsody,0,0,1,0
maltegrosse,0,0,1,0
vinayan3,0,0,1,0
sagar-rout,0,0,1,0
kroepke,11,1,3,0
kfong123,0,0,1,0
liverpoologic,0,0,2,0
kkhaitan,0,0,1,0
dipteshnath,0,0,1,0
nikita-sheremet-java-developer,0,0,1,0
janzankowski,0,0,1,0
blu3tone,0,0,1,0
w-bonelli,0,1,1,0
mak-m,0,0,1,0
JohnSatriano,0,0,1,0
marco-miller,0,0,1,0
fiserro,1,0,1,0
benhairui,0,0,1,0
nicolasguyomar,0,0,1,0
adriandebarro,0,0,1,0
2016gary,0,0,1,0
mathgo,0,0,1,0
softwareklinic,0,0,1,0
salyh,11,10,19,0
renatofritola,0,0,1,0
MohammadRamadan,0,0,1,0
atc0005,0,1,2,0
packetrevolt,0,0,1,0
wdearden,0,1,1,0
KSSekhar,0,0,1,0
ahzamali,0,1,1,0
zakkg3,1,0,1,0
oded-dd,0,0,1,0
lsotov,0,0,1,0
zoellner,1,0,1,0
ensslen,0,0,1,0
keithmo,0,0,1,0
james-uffindell-granta,0,0,1,0
Sarathmskr,0,0,1,0
ashashwat,0,1,1,0
byronvoorbach,7,1,6,0
Dobatymo,0,0,1,0
willchu,0,0,1,0
fernando-mc,0,1,1,0
srini-raman,0,2,2,0
ritxos,0,0,1,0
tylercao,0,0,1,0
micoq,0,0,2,0
simionrobert,0,0,2,0
waelc,0,0,1,0
odmby,0,0,1,0
richcollier,1,0,1,0
suchandbabu,0,0,1,0
mvanderlee,0,0,1,0
mortenbock,0,0,1,0
winyuan,0,0,1,0
owenericsson,0,0,2,0
lixiangdude,0,0,2,0
matt-isett,0,0,2,0
gianrubio,0,1,1,0
lukens,17,1,2,0
GounGG,0,0,1,0
jamieswogger,0,0,1,0
alaphoid,0,0,1,0
luxiaoxun,0,0,1,0
intrakislay,0,0,1,0
krshnmr4,0,0,1,0
bhabaninist,0,1,1,0
mP1,47,11,11,0
larschri,0,0,3,0
pizza,0,1,1,0
X1Dev,0,0,1,0
kostasb,0,0,3,0
mixalistzikas,0,0,1,0
bLindStalker,0,0,1,0
Aviyoosh,0,0,2,0
master8590,0,1,1,0
KnowledgeGarden,1,0,2,0
showmeall,0,0,4,0
rajibhalder,0,0,1,0
regardfs,0,0,1,0
karthikr77,0,0,1,0
abolinhas,0,0,1,0
aditya-agrawal,0,1,1,0
pmishev,1,0,4,0
msymons,0,0,1,0
tryantwit,0,1,1,0
dongruguo,0,1,1,0
josenrihernand,0,0,1,0
mustafaakin,0,0,2,0
yunmengxin,0,0,2,0
asatsi,0,0,1,0
keremcankabadayi,0,0,1,0
antonpious,0,0,7,0
szabgab,0,0,1,0
manikanta-kondeti,0,0,1,0
benjaminPurdy,0,0,1,0
rajbuddha,0,0,1,0
OlivierPetri,0,0,3,0
highmoutain,0,0,1,0
morjo,0,0,1,0
Jymit,0,0,1,0
ramon-garcia,0,0,1,0
MaxymVlasov,0,0,1,0
eirinikos,0,1,1,0
ThompsonLau,0,0,1,0
beiske,7,5,9,1
mats990,0,1,1,0
elasticmachine,24,0,421,0
rasroh,0,0,1,1
samuelbosch,0,0,1,0
Yasaswani,4,0,1,0
thibolu,0,0,1,0
leejones,0,1,1,0
jovandeginste,0,0,1,0
wmellouli,3,1,1,0
bosinm,1,0,1,0
EnglishVillage,0,0,2,0
SigPloiter,0,0,1,0
nick250386,0,0,1,0
ashishtiwari1993,0,0,1,0
cristinaluengoagullo,0,0,1,0
lxiaoixi,0,0,1,0
GorillaCoder,0,0,1,0
twilson-palantir,0,0,3,0
JackFazackerley,0,0,1,0
klaasdellschaft,0,0,1,0
Abhinawkumar9,0,0,1,0
ZarHenry96,0,1,1,0
diwasjoshi,1,3,3,0
packetferret,0,1,1,0
deepybee,0,1,2,0
jstrassb,0,0,2,0
hpez,0,1,1,0
larrywax,0,0,1,0
zyb1994,0,0,1,0
flyfeifei66,0,0,1,0
Van0SS,25,4,4,0
d-malko,0,0,1,0
joedj,0,0,4,0
mrshidashrf,0,0,1,0
lahloug,0,0,1,0
zhangjett,0,2,2,0
loekvangool,0,11,18,0
davidkarlsen,0,0,1,0
wancode,0,0,1,0
kolapkardhaval,0,0,2,0
frediz,0,2,2,0
danopia,0,0,1,0
chrisspen,0,0,1,0
chiragob,0,0,1,0
yjhjeys,0,0,1,0
GregBoero,0,0,1,0
juan-domenech,0,2,2,0
alepuccetti,0,0,2,0
Tobsucht,0,0,3,0
RanganathNangineni,0,0,1,0
raderio,0,0,1,0
naliniranjan82,0,0,1,0
larzuk91,0,1,1,0
tdoman,7,0,9,0
klahnakoski,0,0,6,0
denismaciel,0,1,1,0
fapwlh,0,0,1,0
trumanliu,0,1,1,0
SarenCurrie,0,1,1,0
jacobsy,0,0,1,0
lidane2,0,0,1,0
xfumihiro,0,0,1,0
adityasrini,1,3,3,0
INRIX-Trang-Nguyen,0,0,2,0
Jenifer-Ramsingh,0,0,1,0
jgdxtv2,0,0,1,0
makitka2007,0,0,1,0
Vishnu4a7,0,0,1,0
aurimasplu,0,0,2,0
amirensit,0,0,1,0
Sjaak01,0,0,1,0
Kamleshpa,0,0,1,0
plcstevens,1,1,2,0
danfisk,0,0,1,0
dherrhoyiu,0,0,1,0
dzhyw,0,0,1,0
giocaputo,1,0,4,0
a-schuurman,0,1,1,0
mennoo1996,0,2,2,0
clemensloebig,0,0,1,0
JFogh,0,0,1,0
rzmf,0,1,1,0
brett--anderson,2,0,4,0
santoshbeeram,0,0,1,0
leathekd,0,3,3,3
vacoola1,0,1,1,0
iPush,0,0,2,0
JohnnyMarnell,2,1,1,0
coolrecep,0,0,1,0
ydalbj,0,0,1,0
strong666,0,0,4,0
pavocristatus,0,0,1,0
mloho,0,0,2,0
nevries,0,1,1,0
WanliTian,0,0,1,0
reardencode,2,0,1,0
webbnh,0,0,1,0
misch42,0,0,1,0
edovac,0,0,2,0
fschutt,0,0,1,0
JLeech,0,1,1,0
bgeVam,0,1,1,0
ivanjz93,0,0,1,0
bvobart,0,1,2,0
mitchellmaler,0,0,1,0
suzuki0126,0,1,1,0
ver007,0,0,1,0
refactormyself,11,2,2,0
peruzzijl,0,0,1,0
VinodChhapariya,0,2,2,0
Borikhankozha,0,1,1,0
danlevy1,0,1,6,0
willyblord,0,1,1,0
jdG-,0,1,1,0
shivendrasoni,0,0,1,0
JathinSanghvi,0,1,1,0
paweloque,0,0,3,0
cyinll,0,0,2,0
dstrop,0,0,1,0
snowzach,0,0,2,0
garvitlnmiit,0,0,1,0
Yavor81,0,0,1,0
kabike,0,0,1,0
hijakk,0,0,4,0
TsapAndrii,0,0,1,0
jclegras,0,1,1,0
joadha,0,1,1,0
mgreau,10,4,5,5
tnsatish,0,1,1,0
david-sitsky,0,0,1,0
WydD,0,0,1,0
bolivia,0,0,1,0
hrach977,0,1,1,0
n1im,0,0,1,0
ahmadazimi,0,0,4,0
prahlad574,0,0,1,0
maverick220,0,0,1,0
milan15,1,2,2,0
HorsonLiu,0,0,1,0
Mikilll94,0,0,1,0
jtyr,2,2,2,0
zhishan01,0,0,1,0
MathiasMeuleman,0,0,1,0
thekofimensah,0,0,1,0
paulokuda,0,0,1,0
Gago993,0,0,1,0
gkozyryatskyy,2,0,4,0
jaisharma639,0,0,2,0
matarrese,4,11,11,0
TamerDev,0,0,1,0
jweber,0,0,2,0
reda-alaoui,0,1,2,0
DropCloth,0,0,2,0
pschhikara88,0,0,1,0
vikotse,0,0,1,0
pavangowdasu,0,0,1,0
JRed1989,0,2,2,0
maxshowarth,0,1,1,0
Joostrothweiler,1,1,1,0
rneatherway,6,9,9,0
vincentarnaud90,0,0,1,0
nezhazheng,1,0,1,0
jinleileiking,0,0,2,0
snikch,4,3,6,0
xieshangwei,0,1,1,0
TwP,14,0,4,0
mabialakienda,0,0,1,0
epidemia,3,1,1,0
javadevmtl,5,0,5,0
ngsoftwaredev,0,0,1,0
BigbigY,0,0,2,0
wispxjtu,0,0,1,0
shobhit121,0,0,1,0
shashanksinha1080,0,0,1,0
che0,0,1,1,0
boutcher,0,0,1,0
gpthome,0,0,1,0
rcatambing,0,0,1,0
craigvantonder,0,1,1,0
RishuK,0,0,1,0
kevcodez,0,0,1,0
zp-shadowolf,0,0,2,0
djjsindy,0,0,2,0
elasticjava,4,3,4,0
davidscottcohen,0,0,1,0
cbabhilash,0,0,1,0
maricn,0,0,1,0
darkn3rd,0,0,1,0
JD557,0,0,2,0
jrpool,1,2,2,0
jlamillan,0,0,1,0
LucidObscurity,0,0,2,0
Hafyane,0,0,1,0
autophagy,1,1,1,0
jdewald,0,0,1,0
bitkowitz,0,0,1,0
MeiSign,0,2,2,0
aslng,0,0,1,0
osman,1,0,1,0
shaneog,0,1,1,0
xiyangliu,0,0,1,0
MetalArend,0,0,1,0
mueedc,0,1,1,0
imranazad,1,5,15,0
BDominik,0,0,1,0
Berny-Chen,0,0,1,0
zhangxuanru,0,0,1,0
jiangjf0407,0,0,1,0
dylanPowers,0,0,1,0
arthurgustin,0,0,1,0
detro,0,0,1,0
dingminyi,0,3,4,0
Jamariomiller27,0,0,1,0
KrzysztofMadejski,2,0,2,0
dmaulick,0,0,1,0
aslamy,0,0,11,0
Hanender,0,0,1,0
moljac024,0,2,2,0
shobhanaquickride,0,0,1,0
linker-c,0,0,2,0
golonzovsky,0,0,1,0
hjxhjh,0,0,2,0
cj-nza,0,0,1,0
jiangjunjian,0,0,2,0
gfx,0,1,1,0
shaulzorea,0,4,4,0
aguyinmontreal,0,0,1,0
bharvidixit,2,2,9,0
Jaware,0,0,1,0
tahergalal,0,0,1,0
presto9292,0,0,4,0
redbearsam,0,1,2,0
Doritos250,0,0,1,0
diavel,0,0,1,0
thomas11,1,2,5,0
mvreijn,0,0,1,0
philboeselager,1,0,1,0
jeffreyleeon,0,1,1,0
CommodoreBeard,0,1,1,0
steelywing,0,0,1,0
huangRZ11,0,0,1,0
chakpongchung,0,0,1,0
twardnw,0,0,1,0
AdrianSzymczak,0,0,1,0
samialmorshedi,0,0,1,0
melvilgit,0,0,1,0
vbeskrovnov,0,0,1,0
damntourists,0,0,2,0
lokesh1197,0,1,1,0
cstack89,0,0,1,0
znanev,0,0,1,0
apatrida,80,5,34,0
eusebiu-biroas,0,0,1,0
acossette1979,0,0,1,0
nreje,0,1,1,0
gellweiler,0,0,1,0
mikalv,3,1,1,0
shaharmor,1,1,12,0
hatem20,0,1,1,0
alejandro-carstens,0,1,1,0
markwoon,0,1,2,0
vshideler,0,0,1,0
modesolaa,0,0,1,0
curdincaspar,0,0,1,0
sachidananda04,0,0,1,0
ncavig,0,0,1,0
JACK-ARRAY,0,0,1,0
Kuaaaly,0,1,1,0
freedrikp,0,0,1,0
cexmmaqsood,0,0,3,0
cailen,0,0,1,0
maoning,0,0,1,0
ajaybhatnagar,3,0,12,0
CharlesBunders,0,1,1,0
okke-formsma,0,0,1,0
aliel,0,1,1,0
paulschwarz,0,1,1,0
Reverite,0,0,1,0
zw231212,0,1,1,0
rachiebytes,0,1,1,0
offshor3,0,1,1,0
tblake84,0,0,1,0
TheFireCookie,0,1,3,0
Chandan83,0,1,2,0
jeroen-80,0,0,1,0
diman82,0,0,1,0
andrewliuxxx,0,0,1,0
savar,1,1,1,0
NadavHarnik,0,0,1,0
chrbau,0,0,1,0
huafeisuperman,0,2,2,0
ehtishamkhan,0,0,1,0
dzyangxi,0,0,1,0
linuxcomputergeek,0,0,1,0
justinwyer,5,1,1,0
adamhadani,0,0,2,0
flefebure,0,0,2,0
Lackoftactics,0,0,1,0
Mikhail-Sveshnikov,0,0,1,0
MarneusCalgarXP,0,0,5,0
Cladis,0,5,5,0
ragnarpatel,0,0,1,0
berglh,0,1,3,0
erdarun,1,0,1,0
chrisvanderpennen,0,0,1,0
scratchy,0,0,2,0
ndegory,0,1,2,0
junkainiu,0,0,2,0
hariso,33,2,3,0
seut,13,8,10,0
pznamensky,0,0,2,0
theyoprst,0,1,1,0
georgezoto,0,0,1,0
holgr,1,0,1,0
martini97,0,0,1,0
Cornoualis,0,0,2,0
sundag,0,0,1,0
MarcMagnin,0,0,1,0
fred84,22,10,10,0
corradio,0,0,1,0
catalin-ursachi,33,7,7,0
arpitdadheech,0,0,2,0
iheggo,0,1,1,0
ImCarrot,0,0,1,0
danielduduta,0,0,1,0
alexmorosmarco,1,3,4,0
MrOrz,0,0,1,0
edudar,1,0,4,0
gfelot,0,0,1,0
palanikumar-fci,0,0,1,0
zzlxf,0,0,1,0
mstruve,1,1,1,0
shribigb,0,0,1,0
arne-cl,0,1,1,0
azsolinsky,0,0,1,0
sy-tian,0,0,1,0
atbagga,0,0,1,0
songfj,0,1,1,0
sccds,0,0,1,0
soulis-siluos,0,0,1,0
reeenz20,0,0,1,0
IamJeffG,11,2,6,0
Nao-Mk2,0,0,1,0
penglongli,0,0,1,0
cemremengu,0,0,1,0
nrobert13,0,0,1,0
imdevin567,0,1,1,0
Sanne,2,2,3,0
huangenyan,0,0,1,0
tamimcsedu19,0,0,1,0
wfhartford,0,0,1,0
dougal,0,1,1,0
GurjinderSingh,0,0,1,0
JasonVann,0,1,1,0
kujon,0,1,3,0
reggieb,0,0,1,0
sarvendras,0,0,1,0
yawboateng,0,0,1,0
Longcnttbkhn,0,0,1,0
danrod1971,0,0,1,0
fightingaman,0,0,1,0
jeacott1,0,0,4,0
TruthyBoolish,0,0,1,0
suresk,0,0,1,0
githubyyf,0,1,2,0
david206,0,2,3,0
hhovhann,0,0,1,0
chaojiwan,0,1,1,0
mjustin,0,0,2,0
CrazyPersonThirtyNine,0,0,1,0
SimonJonasGubler,0,0,1,0
wxfqf,0,0,1,0
DR9885,0,0,1,0
wr0ngc0degen,0,1,1,0
bainim,0,0,2,0
beatlejuse,0,0,1,0
Bpant07,0,0,1,0
adrien-vinet,0,0,1,0
neoxue,0,0,2,0
smithyj,0,0,2,0
Nir-Tal,0,0,1,0
LittleBeeBee,0,0,1,0
leeningli,0,0,1,0
fbsolo,0,1,1,0
huoarter,0,0,3,0
iny,0,0,1,0
lbrzekowski,0,0,1,0
neeraj20gupta,0,0,1,0
venkkiram,0,0,2,0
yangjiajun2014,0,0,2,0
yiliaofan,0,0,1,0
mmll,0,0,1,0
SRITANU,0,1,1,0
tatsuyaoiw,0,1,2,0
smgduncan,0,0,2,0
ajeetiiita,0,0,1,0
achselschweisz,2,0,3,0
sunnywalden,0,0,2,0
boudewijnk,0,1,1,0
akramarev,0,1,1,0
brian-vosburgh,0,0,1,0
sfalquier,0,0,1,0
yehosef,15,0,8,0
saleese,0,0,3,0
khalildiouri,0,0,1,0
rangarajanm,0,0,1,0
llilyy,0,1,2,0
jnercy,0,0,1,0
hqch0708,0,0,1,0
marshalium,0,0,1,0
hatdropper1977,0,0,2,0
reconbot,0,1,1,0
robert-blankenship,0,2,2,0
wzgdxg,0,0,1,0
yangxiaolei100,0,0,1,0
jenslink,0,0,2,0
ripjarphil,0,0,1,0
gnukev,0,5,5,0
arkkanoid,0,0,3,0
fvilpoix,0,0,1,0
holygost,0,0,3,0
LinPower,0,0,1,0
wangjialei01,0,0,1,0
ShilpiRachna,0,0,3,0
zjxlinux,0,0,1,0
tomsommer,0,0,5,0
vijaynaik90,0,0,1,0
morphers82,0,0,4,0
vladgolubev,0,4,4,0
zzt93,3,2,6,0
softctrl,0,1,1,0
cybrooke,0,1,1,0
akadko,0,1,1,0
AlJuan,0,1,2,0
PJozeph,0,0,1,0
boliza,3,1,3,0
reembs,0,1,2,0
panffeng,0,0,2,0
EasonYan,0,0,1,0
kiawin,6,5,6,0
AnwarAlg,0,0,1,0
wuyirutgers,0,0,1,0
jzh563,0,1,1,0
mikeurbach,0,0,1,0
nktsg,0,0,1,0
hilalbursali,0,0,1,0
maphey,0,0,1,0
Fluxx,0,0,1,0
xserrat,0,0,1,0
felipe-fg,0,0,1,0
anosulchik,0,0,1,0
valdemarrolfsen,0,0,1,0
greennenen,0,1,1,0
shreyu86,0,0,1,0
cdaringe,0,0,1,0
dhruvr,0,0,1,0
vinayak019,0,1,1,0
raushanjha146,0,0,1,0
amerzad,0,0,1,0
617m4rc,0,0,1,0
mtritschler,0,0,1,0
TrustNoOne,0,0,3,0
heinhtet123,0,0,1,0
KarstenRauch,0,0,1,0
moueza,0,0,2,0
swethapavan,0,3,3,0
zjjott,0,0,1,0
qwerty4030,66,12,15,0
techpeace,0,0,1,0
CJSoldier,0,0,1,0
lptr,2,1,1,0
mrszg,0,0,1,0
louloupw22,0,0,1,0
EricMCornelius,1,1,4,0
monotek,0,0,3,0
DavidNemeskey,0,0,1,0
robinst,5,2,4,0
DivyaMalini,0,0,3,0
YoAm,0,1,1,0
gokberksahin,0,1,1,0
antitech,0,0,2,0
nerandell,0,1,1,0
ctindel,0,0,7,0
avneesh91,0,1,2,0
kakaner,0,0,1,0
jprante,163,26,42,0
SchaSol,0,0,2,0
eranya,0,0,1,0
sandeep-developer,0,0,1,0
sebastientirard,0,1,1,0
Ricolo53,0,0,1,0
jilinhao,1,0,1,0
OuyangKevin,0,0,1,0
joshfix,0,0,1,0
ilyaanisimov-reuters,0,1,2,0
vamsyr,0,0,1,0
vchan2002,0,0,1,0
drewtownchi,0,0,1,0
denis-zhdanov,0,1,1,0
xiezhenye,0,0,1,0
gayathrimanohar,0,0,1,0
adminzgb,0,0,1,0
louisong,0,0,2,0
eladmena,0,2,4,0
ajrpayne,0,1,1,0
mate01988,0,0,1,0
barathguna,0,0,1,0
sshling,0,2,9,0
keithjohnhowe,0,0,1,0
mkhilwani,0,0,1,0
Koc,0,0,3,0
gkinsman,0,0,1,0
alissonsales,0,0,2,0
psytraxx,0,0,1,0
c0da,0,0,1,0
rmgarg22,0,0,1,0
nithril,0,0,1,0
nakaikanako,0,1,1,0
fesnault,5,0,2,0
SKumarMN,4,0,12,0
sitilge,0,0,1,0
spiderdaimi,0,0,1,0
hgfischer,2,1,3,0
outcoldman,0,1,1,0
nacimgoura,0,0,1,0
ojusti,0,0,2,0
Alexxfrolov,0,0,1,0
hayahyts,0,0,1,0
ulir,1,2,2,0
m15o,0,0,1,0
revitalbarletz,0,0,1,0
jamesDrinkard,0,0,1,0
orweinberger,0,0,6,0
soroushj,0,1,1,0
cwurm,20,5,16,0
JRRan64,1,0,2,0
pavel-sbor,0,0,1,0
euporphium,0,1,1,0
lukas-gitl,0,0,3,0
sgnewson,0,1,1,0
afreeland,0,0,1,0
fluency03,0,0,1,0
abraxxa,2,2,5,0
AliCharper,0,0,1,0
slovdahl,0,0,1,0
Hexmagic,0,0,1,0
andytsnowden,0,0,1,0
cashel1,0,0,3,0
oldenbur,0,0,3,0
EngNahidBehjati,0,0,1,0
morozovsk,0,0,1,0
dantalian-pv,0,0,1,0
tinder-xli,1,4,4,0
Geesu,0,2,2,0
nielsbuyens,0,0,1,0
davehagler,0,0,1,0
urusha,0,0,1,0
qicaihuoyan,0,0,1,0
Sethenssen,0,0,1,0
llRandom,0,0,3,0
gayatrijay02,0,0,1,0
GZ315200,0,0,1,0
mimitsu,0,0,2,0
pacer11,0,0,1,0
deveArt,0,0,1,0
ddeboer,0,0,1,0
mellowonpsx,0,0,1,0
forkforlearn,0,0,1,0
rvojcik,0,0,1,0
buchanae,0,0,1,0
ali-bugdayci,0,0,1,0
cyril1531,0,0,1,0
lostc4t,0,0,1,0
shubham391,0,6,6,0
ericsantosnascimento,0,0,2,0
eostis,0,2,2,0
xcl3721,0,0,1,0
Wynndow,0,1,1,0
pdecat,0,0,1,0
TobiasHornberger,0,0,1,0
rpedela,12,0,7,0
geneqew,0,0,1,0
mfussenegger,18,11,16,0
biggreenogre,0,0,1,0
ManishAtSmartshore,0,0,1,0
fangqiao,0,0,2,0
jaspsing,0,0,1,0
bneelima84,0,0,1,0
buildlackey,0,1,3,0
sgutta1,0,0,1,0
zarucki,0,1,3,0
donvanf,0,0,2,0
guomm,0,0,1,0
austintp,0,1,1,0
h-duren,0,1,1,0
nguyenlp,0,0,4,0
boristyukin,0,1,1,0
clarkie,0,1,1,0
likeonechild,0,0,1,0
reeselevine,0,1,1,0
webattitude,0,0,4,0
pizu,0,0,1,0
sebnmuller,0,0,1,0
visaxin,0,1,1,0
aquaman2,0,0,1,0
orvyl,0,0,1,0
gcampbell-epiq,1,0,3,0
shaie,11,4,7,0
arko-r,0,0,1,0
HarelM,0,0,2,0
fergarrui,0,1,1,0
XANi,5,0,4,0
anujajakhade,0,0,1,0
rcrezende,2,0,6,0
rahul-contentsphere,0,0,1,0
CpuID,0,0,2,0
scuhzq,0,0,1,0
thkoch2001,0,0,1,0
RTodorov,0,0,1,0
AviralSri,0,0,1,0
saishsali,0,1,1,0
AIML-YOGI,0,0,1,0
ismailarilik,0,2,2,0
scibi,0,0,1,0
parapar,0,0,2,0
saijone,0,0,1,0
ChrisGreenaway,0,0,1,0
Eduard3000,0,0,1,0
sschepens,0,0,3,0
moneydance,0,0,1,0
mhko,0,0,2,0
chendaoqiu,0,0,1,0
YDHui,0,0,2,0
mdmarek,0,0,1,0
winlans,0,0,2,0
rindybo,0,0,1,0
cfx1,0,0,1,0
stephenyeargin,0,1,1,0
smithsimonj,0,0,3,0
tsuthers-ccpgames,0,0,1,0
hartmant,0,0,1,0
George35mk,0,0,1,0
desmorto,1,7,7,0
jyotiskab,0,0,1,0
Serkan-devel,0,0,1,0
paulkeogh,0,0,1,0
pozhidaevak,0,2,2,0
lmenezes,103,6,37,0
Nefelim4ag,0,0,1,0
novenzhen,0,0,1,0
JaydenRansom,0,0,1,0
YinChunGuang,0,0,1,0
hatim-stovewala,0,1,1,0
AlexWerz,0,0,1,0
buinauskas,0,0,2,0
sladeos,0,0,1,0
minseclab,0,0,1,0
Hojin-Park,0,2,2,0
ankitachow,0,0,1,0
BradHarris,0,0,1,0
agent5566,0,1,1,0
iksnalybok,22,3,16,0
quijote,0,0,1,0
nicpalmer,0,1,3,0
mingzhang96,0,0,1,0
sneakythr0ws,0,0,1,0
nicosierra,0,1,1,0
xzer,1,0,5,0
danny-su,0,0,1,0
futurechallenger,0,0,1,0
fonelor,0,1,1,0
lengerad,0,0,1,0
davidlmorton,0,0,1,0
s4sarath,0,0,1,0
patmanh,0,0,1,0
JeffDownie,0,0,1,0
patrobinson,0,0,1,0
fxdgear,1,1,1,0
saeedansari,0,0,1,0
stuvie,0,1,2,0
shtrih,0,0,1,0
retoo,1,1,1,0
sunkuet02,2,10,10,0
ntwobike,0,0,1,0
ebsaral,0,0,1,0
andreas-p,0,0,1,0
larsuhartmann,0,0,1,0
isapir,0,1,3,0
risdenk,0,1,5,0
sksamuel,2,2,4,0
jdoss,0,0,1,0
DCleymans,0,0,1,0
prehor,0,0,1,0
darshandoshi27,0,0,1,0
c-varberg,0,0,1,0
vurple,0,1,1,0
divyum,2,1,1,0
dsafaric,0,0,2,0
anhzhi,3,0,3,0
gyli,0,0,1,0
KnechtionsCoding,0,0,1,0
dipak84patel,0,0,1,0
aeronite,0,1,1,0
uestcsp,0,1,1,0
changsijay,0,0,2,0
akefirad,0,0,2,0
wlalele,0,1,1,0
githubmui,0,0,1,0
ersoyvatansever,0,0,1,0
saurabhdhingra89,0,0,1,0
tstsogoo,0,0,1,0
YashMangla,0,0,1,0
stembi,0,0,1,0
feiyuewuyue,0,0,1,0
newbei,0,0,1,0
lailaiququ,0,0,1,0
osthus-co,0,0,1,0
sahibdes,0,0,1,0
Bargs,1,1,13,0
szalapski,0,0,1,0
digitalrinaldo,1,0,5,0
skearns64,11,1,6,0
pedrocalais,0,0,1,0
catherinesnow,0,3,3,0
gitaarik,1,1,1,0
shibli049,0,1,1,0
bencrouse,0,0,1,0
AlexKolpa,0,0,1,0
nonokh,0,0,1,0
bevacqua,0,1,1,0
jrots,1,0,7,0
zjzhiqian,0,0,1,0
da091314,0,0,1,0
carlosvega,1,0,4,0
bc1000,0,0,1,0
tanner-bruce,0,0,1,0
travisp,0,0,1,0
jayannah,0,0,5,0
Daniel314,0,0,1,0
YuanyeZ,0,1,1,0
franekrichardson,0,0,2,0
moznion,0,0,1,0
hanabi1224,0,0,1,0
champtar,0,0,1,0
pweerd,4,0,4,0
beand,0,1,1,0
kirubasankars,0,0,1,0
rostiar,0,1,1,0
emmanuelGuiton,0,0,2,0
liuzhen88,0,0,1,0
hoffoo,0,0,1,0
Vin-itall,0,1,1,0
depelteau,0,0,1,0
willard-kali,0,0,1,0
Sartner,0,1,1,0
jianwei2,0,0,1,0
danochoa,0,1,1,0
lruslan,0,0,1,0
kinandwair,0,0,1,0
akashmpatel91,0,0,1,0
trevan,0,0,4,0
quilin,0,0,1,0
avdv,2,1,2,0
hexian55,0,0,3,0
bounddog,0,0,1,0
aleph-zero,168,48,71,29
jodylapp,0,0,1,0
natelapp,0,0,3,0
davekonopka,0,0,1,0
aclowkey,0,1,1,0
hienchu,0,0,1,0
jiangzhuolin,1,1,1,0
Abhishekshukla02,0,0,2,0
luizamboni,0,0,3,0
emmerich,0,0,1,0
mars00772,0,0,4,0
xeccgtt,0,0,1,0
igorbunova,0,0,4,0
john-mcpeek,0,1,1,0
jkdihenkar,0,0,1,0
juazugas,3,1,1,0
hexinw,0,0,1,0
isonil,0,0,1,0
net1pei,0,0,2,0
willcosgrove,0,0,1,0
owenrh,0,1,1,0
obourgain,4,10,11,0
marcocova,0,1,1,0
bigfool1988,0,0,1,0
cclient,0,0,1,0
mohit,0,1,1,0
chilingpan,0,0,1,0
amver7,0,0,1,0
selvakumarEsra,0,0,1,0
shijiebei2009,0,0,1,0
SudhakarSundar,0,0,1,0
sirosen,0,0,1,0
tuzko,0,0,1,0
tsachev,0,0,3,0
