,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
120,Luca Cavanna,1580,117299,91844,178,8706,,,,
121,Brett Dargan,1,25,6,0,1,,,,
122,Luca Cavanna,1,883,106,0,17,,,,
123,skymeyer,1,4,0,0,1,1.0,1.0,1.0,0.0
124,Nik Everett,1854,245739,161057,149,16573,,,,
125,Peter Moberg,1,33,16,0,1,,,,
126,Manuel Bernhardt,1,4,0,0,1,,,,
127,Gianni O'Neill,1,9,1,0,1,,,,
128,Fr¨¦d¨¦ric Camblor,1,194,24,1,7,,,,
129,Dan Everton,1,1,1,1,1,,,,
130,Louis Gueye,1,1,1,0,1,,,,
131,Brad Fritz,1,2,2,0,2,,,,
132,matthewarkin,1,1,1,0,1,1.0,1.0,2.0,0.0
133,Costin Leau,156,67368,12685,19,1563,,,,
134,Spencer Alger,7,222,76,0,73,,,,
135,gtt116,1,1,1,0,1,0.0,1.0,1.0,0.0
136,spenceralger,10,15,14,0,8,,,,
137,Bernhard K. Weisshuhn,1,8,1,0,3,,,,
138,Ryan S. Brown,1,2,0,0,1,,,,
139,Ben McCann,3,9,3,0,3,,,,
140,Jonathan CHAMPION,1,2,2,0,2,,,,
141,Subhash Gopalakrishnan,1,20,1,0,3,,,,
142,Bogdan Dumitrescu,1,32,1,0,2,,,,
143,steve mayzak,4,7,11,0,4,,,,
144,Blake Smith,1,2,2,0,2,,,,
145,Jun Ohtani,89,8038,4084,15,310,,,,
146,Richard Boulton,3,8,8,1,3,,,,
147,Markus Fischer,2,10,3,0,2,,,,
148,Josh Canfield,1,2,0,0,1,,,,
149,Helton Alponti,1,27,16,0,2,,,,
150,Opak Alex,1,3,0,0,1,,,,
151,Dan Everton,1,8,3,0,1,,,,
152,Vojtech Hyza,1,55,36,0,2,,,,
153,Leonardo Menezes,6,132,7,1,15,,,,
154,Cory G Watson,1,3,0,0,1,,,,
155,Andrew Ochsner,1,1,1,0,1,,,,
156,Antoine Rey,1,1,1,0,1,,,,
157,Mark Elliot,1,1,1,0,1,,,,
158,mrsolo,35,1232,144,1,43,47.0,12.0,13.0,2.0
159,colings86,4,212,1,1,5,1935.0,359.0,549.0,460.0
160,Andrew Gross,1,2,2,1,1,,,,
161,Joe Pollard,1,53,64,0,1,,,,
162,Conrad Pankoff,1,9,9,0,3,,,,
163,Kevin Kluge,1,2,2,0,2,,,,
164,Yousef,2,2,2,0,2,,,,
165,Diego Ongaro,1,14,0,0,1,,,,
166,Sebastian Geidies,2,1021,164,0,17,,,,
167,Gr¨¦gory Quatannens,1,4,4,0,1,,,,
168,Chris Simpson,1,2,1,0,1,,,,
169,Richard Pijnenburg,4,61,7,0,5,,,,
170,Dawid Weiss,8,714,553,1,106,,,,
171,sam,2,5,5,0,3,,,,
172,markharwood,122,32460,3920,44,886,597.0,139.0,239.0,139.0
173,Rashid Khan,5,0,0,0,0,,,,
174,ohnorobo,1,611,722,0,2,0.0,1.0,2.0,0.0
175,LightGuard,1,2,0,0,2,0.0,1.0,1.0,0.0
176,Benjamin Vetter,2,21,16,0,9,,,,
177,Rob Cherry,1,114,34,0,3,,,,
178,Alexander Reelsen,2,1348,153,0,35,,,,
179,b.hwang,4,0,0,0,0,,,,
180,dpen2000,1,1,1,0,1,0.0,1.0,1.0,0.0
181,Andy Goldstein,2,14,1,0,2,,,,
182,Matthias Wahl,2,72,21,1,5,,,,
183,Paul Horn,1,1,1,0,1,,,,
184,Kendall Gifford,1,1,1,0,1,,,,
185,Chris Zelenak,1,1,1,0,1,,,,
186,Mark Conlin,1,2,8,0,2,,,,
187,George P. Stathis,7,239,65,0,23,,,,
188,Lars Francke,3,28,28,0,3,,,,
189,Evan Wong,1,1,1,0,1,,,,
190,Kevin,22,1921,89,2,77,,,,
191,tstibbs,1,9,9,1,3,7.0,1.0,16.0,0.0
192,Sean Gallagher,5,239,56,3,7,,,,
193,Mihnea Dobrescu-Balaur,1,1,0,0,1,,,,
194,James Yu,2,6,6,1,2,,,,
195,Oleg Anashkin,1,1,1,0,1,,,,
196,Brian Yoder,1,8,2,1,3,,,,
197,constantijn,1,8,1,0,2,4.0,2.0,3.0,0.0
198,jayesh.modi,1,18,6,0,2,,,,
199,Isabel Drost-Fromm,179,19164,8591,7,821,,,,
200,Kelsey Francis,1,1,1,0,1,,,,
201,hura,1,1,1,0,1,0.0,1.0,1.0,0.0
202,Binh Ly,5,1095,7,0,7,,,,
203,Nils Dijk,2,52,8,1,3,,,,
204,Chris Cowan,7,1,0,0,1,,,,
205,James Brook,1,684,21,0,19,,,,
206,Konrad Feldmeier,4,130,122,2,33,,,,
207,Hugues Malphettes,1,2,2,0,1,,,,
208,Chris Cowan,72,2170,90,5,62,,,,
209,Andrew Selden,21,10303,1550,4,165,,,,
210,Andrew Selden,3,0,0,1,0,,,,
211,Derek Slife,1,1,1,0,1,,,,
212,Mohsin Husen,1,3,0,0,1,,,,
213,Kurt Hurtado,2,93,22,1,2,,,,
214,rphadake,1,2,2,0,2,5.0,1.0,3.0,0.0
215,EvanYellow,1,49,2,1,2,0.0,1.0,1.0,0.0
216,Kenta Suzuki,3,808,22,0,8,,,,
217,Justin Etheredge,1,30,6,0,1,,,,
218,lzhoucs,1,1,1,1,1,0.0,1.0,2.0,0.0
219,Randy Stauner,2,10,6,0,2,,,,
220,Dridi Boukelmoune,1,2,2,0,1,,,,
221,David Smiley,1,105,54,0,9,,,,
222,Robert Muir,4,338,116,0,37,,,,
223,Richard Louapre,1,225,7,0,7,,,,
224,Konrad Beiske,26,3206,1382,2,85,,,,
225,Peter Dyson,26,330,25,3,28,,,,
226,Andrew O'Brien,3,4,4,0,3,,,,
227,Alex Brasetvik,2,42,1,0,5,,,,
228,Hannes Korte,1,6,6,0,5,,,,
229,Chris Earle,6,882,117,1,11,,,,
230,Radu Gheorghe,2,1,7,0,2,,,,
231,kul,1,59,11,0,2,29.0,2.0,11.0,0.0
232,Timo Rantalaiho,1,13,0,0,2,,,,
233,Daniel Winterstein,1,10,0,0,1,,,,
234,Karl Meisterheim,1,3,3,0,1,,,,
235,gabriel-tessier,6,8,8,3,6,1.0,6.0,6.0,0.0
236,Miltos Allamanis,2,39,39,0,5,,,,
237,wittyameta,3,6,2,0,3,3.0,5.0,5.0,0.0
238,Malte Schirnacher,2,6,4,0,2,,,,
239,eliasah,3,10,7,0,3,5.0,3.0,4.0,0.0
240,Scott Wilkerson,1,1,1,1,1,,,,
